	roberta_42	roberta_1337	roberta_2024	roberta_noseed	roberta256_42	roberta256_1337	roberta256_2024	roberta_256_noseed
deberta_42	0.8839	0.87895	0.87815	0.85965	0.8845	0.8776	0.88055	0.86165
deberta_1337	0.88095	0.8834	0.87435	0.8578	0.8812	0.88145	0.8784	0.8607
deberta_2024	0.8813	0.8779	0.88335	0.8588	0.87655	0.8779	0.88345	0.85745
deberta_noseed	0.8555	0.8549	0.8548	0.85225	0.8515	0.85425	0.8523	0.84805
deberta256_noseed	0.85385	0.8536	0.8528	0.84875	0.8542	0.8557	0.853	0.84805
deberta256_42	0.8888	0.88605	0.88345	0.85305	0.88985	0.883	0.88625	0.8513
deberta256_1337	0.8822	0.87805	0.87305	0.84135	0.8807	0.87905	0.88135	0.84155
deberta256_2024	0.88665	0.8783	0.8845	0.8514	0.8814	0.8852	0.88875	0.85455
