
#	User Id	Macro F1 score
1	362355	0.745
2	359857	0.743
3	353805	0.738
4	360569	0.735
5	360691	0.735
6	359415	0.734
7	308989	0.732
8	353617	0.731
9	354059	0.730
10	361860	0.730
11	360563	0.728
12	360151	0.726
13	354789	0.725
14	358061	0.725
15	358788	0.725
16	334041	0.724
17	323492	0.723
18	295442	0.722
19	349145	0.721
20	357265	0.721
21	354901	0.721
22	358616	0.719
23	358639	0.713
24	353302	0.713
25	354965	0.712
26	360859	0.712
27	355199	0.712
28	351203	0.711
29	360730	0.710
30	353753	0.708
31	360037	0.707
32	333520	0.706
33	345926	0.705
34	354862	0.704
35	354210	0.704
36	353706	0.703
37	358844	0.701
38	361814	0.694
39	334026	0.674
40	312593	0.674
41	360736	0.674
42	361803	0.670
43	361520	0.666
44	357942	0.658
45	360889	0.650
46	355320	0.645
47	361809	0.644
48	353952	0.641
49	329112	0.636
50	347987	0.611
51	357952	0.603
52	351893	0.592
53	352590	0.455
54	baseline	0.443


1501.0116s



#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	360569	0.735
5	360691	0.735
6	359415	0.734
7	308989	0.732
8	353617	0.731
9	354059	0.730
10	361860	0.730
11	360563	0.728
12	349145	0.727
13	360151	0.726
14	354789	0.725
15	358061	0.725
16	358788	0.725
17	334041	0.724
18	323492	0.723
19	295442	0.722
20	357265	0.721
21	354901	0.721
22	358616	0.719
23	355199	0.717
24	358639	0.716
25	354965	0.715
26	353302	0.713
27	360859	0.712
28	351203	0.712
29	360730	0.710
30	361814	0.709
31	353753	0.708
32	360037	0.707
33	333520	0.706
34	345926	0.705
35	354862	0.704
36	354210	0.704
37	353706	0.703
38	358844	0.701
39	352590	0.701
40	334026	0.674
41	312593	0.674
42	360736	0.674
43	361803	0.670
44	361520	0.666
45	357942	0.658
46	360889	0.650
47	355320	0.645
48	361809	0.644
49	353952	0.641
50	329112	0.636
51	347987	0.611
52	357952	0.603
53	351893	0.592
54	baseline	0.443

1501-14:41

#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	360569	0.738
5	361177	0.737
6	360691	0.735
7	359415	0.734
8	308989	0.732
9	353617	0.731
10	354059	0.730
11	361860	0.730
12	360563	0.728
13	349145	0.727
14	360151	0.726
15	354789	0.725
16	358061	0.725
17	358788	0.725
18	334041	0.724
19	361788	0.723
20	323492	0.723
21	295442	0.722
22	357265	0.721
23	354901	0.721
24	360754	0.720
25	358616	0.719
26	355199	0.717
27	358639	0.716
28	354965	0.715
29	360859	0.715
30	353302	0.713
31	351203	0.712
32	360730	0.710
33	361814	0.709
34	353753	0.708
35	360315	0.708
36	345926	0.707
37	360037	0.707
38	333520	0.706
39	354862	0.704
40	354210	0.704
41	353706	0.703
42	360736	0.702
43	349228	0.702
44	358844	0.701
45	352590	0.701
46	334026	0.674
47	312593	0.674
48	361803	0.670
49	361520	0.666
50	357942	0.658
51	360889	0.650
52	355320	0.645
53	361809	0.644
54	347143	0.641
55	353952	0.641
56	329112	0.636
57	347987	0.611
58	357952	0.603
59	351893	0.592
60	baseline	0.443


1501-21:49



#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	354862	0.740
5	360569	0.738
6	308989	0.737
7	361177	0.737
8	359415	0.735
9	360691	0.735
10	357942	0.735
11	353952	0.734
12	361860	0.734
13	353617	0.731
14	360315	0.731
15	354059	0.730
16	352590	0.729
17	349472	0.729
18	360730	0.729
19	360563	0.728
20	360754	0.728
21	361788	0.727
22	349145	0.727
23	358788	0.726
24	360151	0.726
25	354789	0.725
26	352283	0.725
27	358061	0.725
28	334041	0.724
29	349228	0.723
30	323492	0.723
31	338197	0.723
32	295442	0.722
33	353753	0.721
34	312137	0.721
35	357265	0.721
36	354901	0.721
37	360889	0.720
38	358616	0.719
39	360757	0.718
40	362121	0.718
41	345926	0.717
42	355199	0.717
43	358639	0.716
44	354965	0.716
45	360859	0.716
46	353302	0.714
47	351203	0.712
48	358844	0.711
49	361814	0.709
50	355320	0.708
51	360037	0.707
52	333520	0.706
53	341870	0.706
54	310149	0.705
55	354210	0.704
56	353706	0.703
57	360736	0.702
58	361191	0.700
59	361803	0.699
60	347143	0.699
61	358657	0.697
62	359791	0.689
63	353385	0.687
64	361809	0.685
65	361268	0.684
66	334026	0.674
67	312593	0.674
68	361520	0.666
69	355100	0.659
70	329112	0.636
71	347987	0.611
72	357952	0.603
73	351893	0.592
74	baseline	0.443


Timestamp 1901-20:20



#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	354862	0.741
5	308989	0.740
6	360569	0.738
7	361177	0.737
8	357942	0.736
9	359415	0.736
10	360691	0.735
11	352283	0.735
12	352590	0.735
13	353952	0.734
14	361860	0.734
15	353617	0.731
16	360315	0.731
17	354059	0.730
18	349472	0.729
19	360730	0.729
20	360563	0.728
21	355320	0.728
22	360754	0.728
23	361788	0.727
24	349145	0.727
25	360972	0.727
26	358788	0.726
27	360151	0.726
28	354789	0.725
29	358061	0.725
30	334041	0.724
31	349228	0.723
32	323492	0.723
33	338197	0.723
34	362121	0.723
35	357265	0.722
36	295442	0.722
37	353753	0.721
38	312137	0.721
39	354901	0.721
40	360889	0.720
41	310986	0.719
42	358616	0.719
43	360757	0.718
44	345926	0.717
45	355199	0.717
46	361803	0.716
47	358640	0.716
48	358639	0.716
49	354965	0.716
50	360859	0.716
51	353302	0.714
52	351967	0.714
53	351203	0.712
54	358844	0.711
55	361814	0.709
56	329112	0.708
57	360736	0.707
58	360037	0.707
59	333520	0.706
60	341870	0.706
61	310149	0.705
62	354210	0.704
63	353706	0.703
64	358657	0.703
65	361191	0.700
66	347143	0.699
67	360309	0.690
68	359791	0.689
69	353385	0.687
70	361809	0.685
71	361268	0.684
72	349527	0.684
73	334026	0.674
74	312593	0.674
75	361520	0.666
76	355100	0.665
77	347987	0.611
78	357952	0.603
79	351893	0.592
80	baseline	0.443
© 2019-2021

timestamp 2001-14:00



#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	352283	0.741
5	352590	0.741
6	354862	0.741
7	308989	0.740
8	360569	0.738
9	361177	0.737
10	357942	0.736
11	359415	0.736
12	360691	0.735
13	353952	0.734
14	361860	0.734
15	359957	0.734
16	359693	0.733
17	361840	0.733
18	361507	0.733
19	355320	0.732
20	353617	0.731
21	360315	0.731
22	349228	0.731
23	360972	0.730
24	354059	0.730
25	311840	0.729
26	349472	0.729
27	361788	0.729
28	360730	0.729
29	360563	0.728
30	360754	0.728
31	349145	0.727
32	358788	0.726
33	360151	0.726
34	354789	0.725
35	358061	0.725
36	353706	0.725
37	361802	0.724
38	334041	0.724
39	323492	0.723
40	338197	0.723
41	362121	0.723
42	357265	0.722
43	295442	0.722
44	353753	0.721
45	312137	0.721
46	354901	0.721
47	360889	0.720
48	354965	0.719
49	310986	0.719
50	358616	0.719
51	360757	0.718
52	352816	0.718
53	345926	0.717
54	355199	0.717
55	361803	0.716
56	358640	0.716
57	358639	0.716
58	360859	0.716
59	353302	0.714
60	351967	0.714
61	351203	0.712
62	358844	0.711
63	361814	0.709
64	329112	0.708
65	360736	0.707
66	360037	0.707
67	333520	0.706
68	341870	0.706
69	310149	0.705
70	354210	0.704
71	358657	0.703
72	361191	0.700
73	347143	0.699
74	356656	0.693
75	360309	0.690
76	338150	0.690
77	359791	0.689
78	353385	0.687
79	361809	0.685
80	361268	0.684
81	349527	0.684
82	355100	0.683
83	334026	0.674
84	312593	0.674
85	361520	0.666
86	353636	0.656
87	347987	0.611
88	357952	0.603
89	351893	0.592
90	baseline	0.443


Timestamp 2101-11:42


#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	352283	0.741
5	352590	0.741
6	354862	0.741
7	308989	0.740
8	360569	0.738
9	361177	0.737
10	359957	0.736
11	357942	0.736
12	359415	0.736
13	359693	0.735
14	360691	0.735
15	353952	0.734
16	361860	0.734
17	361840	0.733
18	361507	0.733
19	355320	0.732
20	353617	0.731
21	360315	0.731
22	349228	0.731
23	360972	0.730
24	354059	0.730
25	311840	0.729
26	349472	0.729
27	361788	0.729
28	360730	0.729
29	353706	0.729
30	360563	0.728
31	360754	0.728
32	353636	0.728
33	349145	0.727
34	358788	0.726
35	354574	0.726
36	360151	0.726
37	354789	0.725
38	360736	0.725
39	358061	0.725
40	361802	0.724
41	334041	0.724
42	323492	0.723
43	338197	0.723
44	362121	0.723
45	357265	0.722
46	295442	0.722
47	353753	0.721
48	312137	0.721
49	354901	0.721
50	360889	0.720
51	354965	0.719
52	310986	0.719
53	358616	0.719
54	360757	0.718
55	352816	0.718
56	345926	0.717
57	355199	0.717
58	361803	0.716
59	358640	0.716
60	358639	0.716
61	360859	0.716
62	353302	0.714
63	351967	0.714
64	351203	0.712
65	358844	0.711
66	361814	0.709
67	329112	0.708
68	361191	0.708
69	360037	0.707
70	333520	0.706
71	341870	0.706
72	310149	0.705
73	354210	0.704
74	358657	0.703
75	347143	0.699
76	356656	0.693
77	360309	0.690
78	338150	0.690
79	359791	0.689
80	353385	0.687
81	361809	0.685
82	361268	0.684
83	349527	0.684
84	355100	0.683
85	334026	0.674
86	312593	0.674
87	361520	0.666
88	347987	0.611
89	359518	0.610
90	354426	0.609
91	357952	0.603
92	351893	0.592
93	baseline	0.443

timestamp 2101-15:20



#	User Id	Macro F1 score
1	353805	0.746
2	362355	0.745
3	359857	0.744
4	352283	0.741
5	352590	0.741
6	354862	0.741
7	308989	0.740
8	360569	0.738
9	361177	0.737
10	359957	0.736
11	357942	0.736
12	359415	0.736
13	354574	0.735
14	359693	0.735
15	360691	0.735
16	353952	0.734
17	361860	0.734
18	355320	0.734
19	361840	0.733
20	361507	0.733
21	353617	0.731
22	360315	0.731
23	353636	0.731
24	349228	0.731
25	358616	0.731
26	360972	0.730
27	354059	0.730
28	311840	0.729
29	361802	0.729
30	349472	0.729
31	361788	0.729
32	360730	0.729
33	353706	0.729
34	360736	0.728
35	360563	0.728
36	360754	0.728
37	349145	0.727
38	358061	0.726
39	358788	0.726
40	360151	0.726
41	354789	0.725
42	334041	0.724
43	323492	0.723
44	338197	0.723
45	362121	0.723
46	361777	0.722
47	357265	0.722
48	295442	0.722
49	353753	0.721
50	312137	0.721
51	360889	0.721
52	358640	0.721
53	354901	0.721
54	347143	0.720
55	354965	0.719
56	310986	0.719
57	349501	0.719
58	361191	0.719
59	360757	0.718
60	352816	0.718
61	345926	0.717
62	355199	0.717
63	361803	0.717
64	360244	0.716
65	358639	0.716
66	360859	0.716
67	353302	0.714
68	351967	0.714
69	343389	0.713
70	351203	0.712
71	358844	0.711
72	361814	0.709
73	329112	0.708
74	358794	0.708
75	360037	0.707
76	310149	0.706
77	333520	0.706
78	341870	0.706
79	354210	0.704
80	347423	0.704
81	358657	0.703
82	320214	0.703
83	359518	0.700
84	356656	0.693
85	355100	0.692
86	360309	0.690
87	338150	0.690
88	359791	0.689
89	353385	0.687
90	361809	0.685
91	361268	0.684
92	349527	0.684
93	334026	0.674
94	312593	0.674
95	361520	0.666
96	347987	0.611
97	354426	0.609
98	357952	0.603
99	351893	0.592
100	baseline	0.443

Timestamp 2201-15:00
